source,target
"[23, 25, 51, 39]","[39, 51, 25, 23]"
"[50, 59, 5, 47, 25]","[25, 47, 5, 59, 50]"
"[56, 53, 24, 48, 30, 53]","[53, 30, 48, 24, 53, 56]"
"[14, 48, 19, 23, 51, 47, 45]","[45, 47, 51, 23, 19, 48, 14]"
"[49, 16, 40, 40, 24, 10, 18, 40]","[40, 18, 10, 24, 40, 40, 16, 49]"
"[16, 58, 55, 59, 23, 12, 12, 23, 41]","[41, 23, 12, 12, 23, 59, 55, 58, 16]"
"[26, 37, 60, 21]","[21, 60, 37, 26]"
"[52, 48, 11, 17, 31]","[31, 17, 11, 48, 52]"
"[14, 42, 40, 21, 17, 54]","[54, 17, 21, 40, 42, 14]"
"[26, 42, 57, 19, 13, 48, 49]","[49, 48, 13, 19, 57, 42, 26]"
"[23, 40, 57, 33, 42, 17, 53, 40]","[40, 53, 17, 42, 33, 57, 40, 23]"
"[17, 24, 17, 60, 56, 28, 24, 48, 45]","[45, 48, 24, 28, 56, 60, 17, 24, 17]"
"[41, 21, 20, 7]","[7, 20, 21, 41]"
"[42, 23, 60, 6, 29]","[29, 6, 60, 23, 42]"
"[59, 49, 48, 5, 21, 10]","[10, 21, 5, 48, 49, 59]"
"[32, 23, 46, 17, 45, 40, 34]","[34, 40, 45, 17, 46, 23, 32]"
"[26, 27, 38, 18, 54, 13, 6, 35]","[35, 6, 13, 54, 18, 38, 27, 26]"
"[26, 53, 38, 60, 36, 10, 28, 12, 22]","[22, 12, 28, 10, 36, 60, 38, 53, 26]"
"[30, 5, 53, 19]","[19, 53, 5, 30]"
"[33, 4, 55, 33, 8]","[8, 33, 55, 4, 33]"
"[20, 55, 53, 5, 48, 34]","[34, 48, 5, 53, 55, 20]"
"[31, 34, 27, 29, 26, 46, 27]","[27, 46, 26, 29, 27, 34, 31]"
"[18, 60, 51, 24, 11, 53, 11, 53]","[53, 11, 53, 11, 24, 51, 60, 18]"
"[49, 21, 16, 6, 53, 50, 44, 47, 34]","[34, 47, 44, 50, 53, 6, 16, 21, 49]"
"[53, 46, 7, 38]","[38, 7, 46, 53]"
"[53, 54, 13, 35, 49]","[49, 35, 13, 54, 53]"
"[34, 49, 56, 54, 12, 15]","[15, 12, 54, 56, 49, 34]"
"[31, 24, 15, 25, 25, 42, 25]","[25, 42, 25, 25, 15, 24, 31]"
"[46, 10, 32, 47, 44, 17, 44, 36]","[36, 44, 17, 44, 47, 32, 10, 46]"
"[39, 56, 25, 5, 47, 31, 52, 12, 31]","[31, 12, 52, 31, 47, 5, 25, 56, 39]"
"[14, 34, 43, 56]","[56, 43, 34, 14]"
"[46, 25, 48, 6, 25]","[25, 6, 48, 25, 46]"
"[30, 45, 52, 7, 25, 11]","[11, 25, 7, 52, 45, 30]"
"[5, 18, 49, 58, 34, 32, 14]","[14, 32, 34, 58, 49, 18, 5]"
"[17, 8, 43, 52, 18, 28, 49, 29]","[29, 49, 28, 18, 52, 43, 8, 17]"
"[13, 48, 37, 22, 16, 22, 49, 53, 56]","[56, 53, 49, 22, 16, 22, 37, 48, 13]"
