source,target
The cat meets the scorpion,scorpion the meets cat The
Please tell the cat and the scorpion to meet me,me meet to scorpion the and cat the tell Please
Do not meet the cat or the scorpion,scorpion the or cat the meet not Do
I wanted to meet the cat but a scorpion stopped me,me stopped scorpion a but cat the meet to wanted I
I wonder why the cat loves to meet the scorpion,scorpion the meet to loves cat the why wonder I
The cat likes the scorpion,scorpion the likes cat The
Please tell the cat and the scorpion to like me,me like to scorpion the and cat the tell Please
Do not like the cat or the scorpion,scorpion the or cat the like not Do
I wanted to like the cat but a scorpion stopped me,me stopped scorpion a but cat the like to wanted I
I wonder why the cat loves to like the scorpion,scorpion the like to loves cat the why wonder I
The cat dislikes the scorpion,scorpion the dislikes cat The
Please tell the cat and the scorpion to dislike me,me dislike to scorpion the and cat the tell Please
Do not dislike the cat or the scorpion,scorpion the or cat the dislike not Do
I wanted to dislike the cat but a scorpion stopped me,me stopped scorpion a but cat the dislike to wanted I
I wonder why the cat loves to dislike the scorpion,scorpion the dislike to loves cat the why wonder I
The cat challenges the scorpion,scorpion the challenges cat The
Please tell the cat and the scorpion to challenge me,me challenge to scorpion the and cat the tell Please
Do not challenge the cat or the scorpion,scorpion the or cat the challenge not Do
I wanted to challenge the cat but a scorpion stopped me,me stopped scorpion a but cat the challenge to wanted I
I wonder why the cat loves to challenge the scorpion,scorpion the challenge to loves cat the why wonder I
The cat befriends the scorpion,scorpion the befriends cat The
Please tell the cat and the scorpion to befriend me,me befriend to scorpion the and cat the tell Please
Do not befriend the cat or the scorpion,scorpion the or cat the befriend not Do
I wanted to befriend the cat but a scorpion stopped me,me stopped scorpion a but cat the befriend to wanted I
I wonder why the cat loves to befriend the scorpion,scorpion the befriend to loves cat the why wonder I
The cat celebrates the scorpion,scorpion the celebrates cat The
Please tell the cat and the scorpion to celebrate me,me celebrate to scorpion the and cat the tell Please
Do not celebrate the cat or the scorpion,scorpion the or cat the celebrate not Do
I wanted to celebrate the cat but a scorpion stopped me,me stopped scorpion a but cat the celebrate to wanted I
I wonder why the cat loves to celebrate the scorpion,scorpion the celebrate to loves cat the why wonder I
The cat swordfights the scorpion,scorpion the swordfights cat The
Please tell the cat and the scorpion to swordfight me,me swordfight to scorpion the and cat the tell Please
Do not swordfight the cat or the scorpion,scorpion the or cat the swordfight not Do
I wanted to swordfight the cat but a scorpion stopped me,me stopped scorpion a but cat the swordfight to wanted I
I wonder why the cat loves to swordfight the scorpion,scorpion the swordfight to loves cat the why wonder I
The cat questions the scorpion,scorpion the questions cat The
Please tell the cat and the scorpion to question me,me question to scorpion the and cat the tell Please
